consent,timestamp,sno,id,quesno,ques_counter,ans,ansval,conf,reac,reas,Cognitive_bias,Generation,Q1_time,Q2_time,Q3_time,Q4_time,factor1,factor2,hint,hint_time,hint_probability
true,"2023-12-01 22:06:56",11587,656a02232d5ec7.78689694,37,43,phishing,0,100,"Read the email and do nothing,Move to spam,Report this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,","Hyperbolic Discounting","GPT-3 Temp0.3_TopP_0.8","Fri Dec 01 2023 22:06:42 GMT+0530 (India Standard Time)","Fri Dec 01 2023 22:06:45 GMT+0530 (India Standard Time)","Fri Dec 01 2023 22:06:50 GMT+0530 (India Standard Time)","Fri Dec 01 2023 22:06:54 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 22:06:28",11586,656a02232d5ec7.78689694,42,42,genuine,100,91,"Read the email and do nothing,Respond to this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,"Fri Dec 01 2023 22:06:14 GMT+0530 (India Standard Time)","Fri Dec 01 2023 22:06:16 GMT+0530 (India Standard Time)","Fri Dec 01 2023 22:06:21 GMT+0530 (India Standard Time)","Fri Dec 01 2023 22:06:27 GMT+0530 (India Standard Time)",0,0,Used,"Fri Dec 01 2023 22:05:50 GMT+0530 (India Standard Time)",45
true,"2023-12-01 22:05:34",11585,656a02232d5ec7.78689694,35,41,phishing,0,100,"Move to spam,Report this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,","Authority Bias","GPT-3 Temp0.3_TopP_0.8","Fri Dec 01 2023 22:05:22 GMT+0530 (India Standard Time)","Fri Dec 01 2023 22:05:24 GMT+0530 (India Standard Time)","Fri Dec 01 2023 22:05:28 GMT+0530 (India Standard Time)","Fri Dec 01 2023 22:05:32 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 22:05:03",11584,656a02232d5ec7.78689694,39,40,phishing,0,100,"Read the email and do nothing,Move to spam,Report this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,Based upon the link/attachment in the email,,","Recency Effect","GPT-3 Temp0.3_TopP_0.8","Fri Dec 01 2023 22:04:44 GMT+0530 (India Standard Time)","Fri Dec 01 2023 22:04:48 GMT+0530 (India Standard Time)","Fri Dec 01 2023 22:04:56 GMT+0530 (India Standard Time)","Fri Dec 01 2023 22:05:02 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 22:04:24",11583,656a02232d5ec7.78689694,41,39,phishing,0,100,"Read the email and do nothing,Move to spam,Delete this email,Report this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,","Curiosity Effect","GPT-3 Temp0.3_TopP_0.8","Fri Dec 01 2023 22:04:07 GMT+0530 (India Standard Time)","Fri Dec 01 2023 22:04:08 GMT+0530 (India Standard Time)","Fri Dec 01 2023 22:04:14 GMT+0530 (India Standard Time)","Fri Dec 01 2023 22:04:23 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 22:03:52",11582,656a02232d5ec7.78689694,34,38,genuine,75,100,"Read the email and do nothing,Click link/ Open attachment,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,"Fri Dec 01 2023 22:03:44 GMT+0530 (India Standard Time)","Fri Dec 01 2023 22:03:34 GMT+0530 (India Standard Time)","Fri Dec 01 2023 22:03:39 GMT+0530 (India Standard Time)","Fri Dec 01 2023 22:03:50 GMT+0530 (India Standard Time)",0,0,Used,"Fri Dec 01 2023 22:03:19 GMT+0530 (India Standard Time)",43
true,"2023-12-01 22:02:59",11581,656a02232d5ec7.78689694,40,37,phishing,0,100,"Read the email and do nothing,Move to spam,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,",NA,NA,"Fri Dec 01 2023 22:02:45 GMT+0530 (India Standard Time)","Fri Dec 01 2023 22:02:48 GMT+0530 (India Standard Time)","Fri Dec 01 2023 22:02:54 GMT+0530 (India Standard Time)","Fri Dec 01 2023 22:02:58 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 22:02:27",11580,656a02232d5ec7.78689694,43,36,phishing,0,100,"Read the email and do nothing,Move to spam,Report this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,,","Halo Effect","GPT-3 Temp0.3_TopP_0.8","Fri Dec 01 2023 22:02:10 GMT+0530 (India Standard Time)","Fri Dec 01 2023 22:02:11 GMT+0530 (India Standard Time)","Fri Dec 01 2023 22:02:19 GMT+0530 (India Standard Time)","Fri Dec 01 2023 22:02:25 GMT+0530 (India Standard Time)",0,0,"Not used",,
true,"2023-12-01 22:01:51",11579,656a02232d5ec7.78689694,38,35,genuine,100,100,"Read the email and do nothing,","Based upon senders email address,Based upon the subject line in the email,Based upon the date in the email,Based upon body of the email,,",NA,NA,"Fri Dec 01 2023 22:01:28 GMT+0530 (India Standard Time)","Fri Dec 01 2023 22:01:30 GMT+0530 (India Standard Time)","Fri Dec 01 2023 22:01:44 GMT+0530 (India Standard Time)","Fri Dec 01 2023 22:01:47 GMT+0530 (India Standard Time)",0,0,Used,"Fri Dec 01 2023 22:01:26 GMT+0530 (India Standard Time)",65
true,"2023-12-01 22:00:53",11578,656a02232d5ec7.78689694,36,34,phishing,0,100,"Read the email and do nothing,Move to spam,Delete this email,Report this email,","Based upon senders email address,Based upon the subject line in the email,Based upon body of the email,Based upon the link/attachment in the email,,",NA,NA,"Fri Dec 01 2023 22:00:33 GMT+0530 (India Standard Time)","Fri Dec 01 2023 22:00:35 GMT+0530 (India Standard Time)","Fri Dec 01 2023 22:00:46 GMT+0530 (India Standard Time)","Fri Dec 01 2023 22:00:52 GMT+0530 (India Standard Time)",0,0,"Not used",,
